;state;income;professional;unemployment
488;Alabama;41444.0;25.3;8.8
489;Alabama;68688.0;42.8;6.0
490;Alabama;39657.0;28.6;4.2
491;Alabama;44519.0;26.1;6.5
492;Alabama;54922.0;28.5;8.1
493;Alabama;59648.0;46.2;6.7
494;Alabama;76484.0;41.5;4.2
495;Alabama;64189.0;42.4;4.1
496;Alabama;47382.0;25.3;8.8
497;Alabama;39323.0;26.8;12.3
498;Alabama;42905.0;25.8;11.9
499;Alabama;31410.0;22.6;9.9
500;Alabama;22425.0;13.9;12.5
501;Alabama;43550.0;27.4;12.9
502;Alabama;54759.0;30.2;11.0
503;Alabama;59038.0;41.2;4.2
504;Alabama;51364.0;30.0;13.4
505;Alabama;51779.0;24.6;8.6
506;Alabama;55469.0;23.3;6.3
507;Alabama;60556.0;30.2;8.3
508;Alabama;57955.0;31.7;4.5
509;Alabama;65453.0;31.4;7.1
510;Alabama;55133.0;39.8;6.8
511;Alabama;38340.0;30.5;7.8
512;Alabama;49517.0;30.9;10.4
513;Alabama;34583.0;19.6;11.4
514;Alabama;36250.0;45.2;8.5
515;Alabama;44020.0;42.2;2.1
516;Alabama;125333.0;49.8;0.7
517;Alabama;69950.0;47.4;4.3
518;Alabama;68063.0;59.5;6.9
519;Alabama;62046.0;52.7;6.9
520;Alabama;126094.0;73.4;3.0
521;Alabama;70476.0;50.3;6.5
522;Alabama;58208.0;49.0;8.7
523;Alabama;55559.0;33.1;6.4
524;Alabama;67196.0;62.7;3.6
525;Alabama;154643.0;59.5;1.8
526;Alabama;38120.0;32.1;7.0
527;Alabama;47147.0;28.2;5.6
528;Alabama;51464.0;66.9;0.2
529;Alabama;69511.0;50.4;1.5
530;Alabama;28717.0;21.6;9.6
531;Alabama;26962.0;35.7;17.3
532;Alabama;41758.0;24.3;12.2
533;Alabama;31528.0;18.4;14.2
534;Alabama;37050.0;24.9;8.4
535;Alabama;26760.0;14.2;16.1
536;Alabama;26556.0;14.5;18.8
537;Alabama;37150.0;22.5;24.6
538;Alabama;43409.0;25.6;6.5
539;Alabama;58378.0;27.1;7.9
540;Alabama;77827.0;36.6;13.4
541;Alabama;52225.0;22.4;6.2
542;Alabama;49327.0;24.4;3.0
543;Alabama;46051.0;27.4;10.1
544;Alabama;82036.0;47.3;3.0
545;Alabama;93797.0;51.9;1.7
546;Alabama;38750.0;35.5;9.9
547;Alabama;74883.0;66.9;2.4
548;Alabama;84393.0;59.1;1.3
549;Alabama;58750.0;46.1;6.0
550;Alabama;109458.0;67.5;2.4
551;Alabama;59987.0;57.6;4.6
552;Alabama;79161.0;52.6;5.9
553;Alabama;83642.0;55.5;2.7
554;Alabama;84792.0;55.1;1.8
555;Alabama;126808.0;63.1;3.6
556;Alabama;29671.0;24.7;7.6
557;Alabama;41064.0;36.6;9.4
558;Alabama;39183.0;22.0;6.0
559;Alabama;20341.0;18.2;23.1
560;Alabama;20938.0;28.7;4.9
561;Alabama;14382.0;13.1;12.9
562;Alabama;31726.0;33.2;6.4
563;Alabama;29097.0;19.9;5.2
564;Alabama;22829.0;18.0;7.1
565;Alabama;35793.0;29.0;13.2
566;Alabama;41311.0;36.6;3.7
567;Alabama;35597.0;25.6;6.8
568;Alabama;59418.0;40.6;5.8
569;Alabama;44268.0;34.4;3.6
570;Alabama;47292.0;20.0;10.8
571;Alabama;40438.0;19.5;5.5
572;Alabama;45781.0;25.6;1.3
573;Alabama;56569.0;42.5;7.7
574;Alabama;66618.0;32.9;6.9
575;Alabama;50219.0;28.4;5.8
576;Alabama;48147.0;36.7;5.4
577;Alabama;73784.0;34.2;5.0
578;Alabama;47135.0;23.8;6.5
579;Alabama;40745.0;32.8;9.8
580;Alabama;44981.0;40.3;6.7
581;Alabama;50300.0;14.6;8.2
582;Alabama;38083.0;12.3;6.2
583;Alabama;45474.0;26.4;9.2
584;Alabama;35735.0;23.7;10.1
585;Alabama;44773.0;21.6;7.1
586;Alabama;47277.0;31.4;5.4
587;Alabama;43102.0;23.1;8.6
588;Alabama;66765.0;23.9;5.4
589;Alabama;38750.0;32.3;3.9
590;Alabama;41509.0;41.7;0.8
591;Alabama;29698.0;60.9;2.9
592;Alabama;45923.0;44.0;3.2
593;Alabama;86386.0;62.2;3.1
594;Alabama;47896.0;57.5;9.5
595;Alabama;23482.0;31.7;9.6
596;Alabama;24856.0;37.3;6.5
597;Alabama;14786.0;26.1;13.7
598;Alabama;10409.0;45.0;9.0
599;Alabama;47165.0;46.6;8.5
600;Alabama;24258.0;49.6;4.9
601;Alabama;72333.0;47.2;4.3
602;Alabama;35653.0;31.3;6.5
603;Alabama;72143.0;50.7;3.2
604;Alabama;37763.0;42.5;9.0
605;Alabama;22161.0;9.8;14.0
606;Alabama;23622.0;27.0;10.8
607;Alabama;49448.0;36.9;1.5
608;Alabama;46875.0;26.7;4.0
609;Alabama;60483.0;41.5;6.2
610;Alabama;58702.0;48.3;7.0
611;Alabama;61000.0;25.9;4.6
612;Alabama;63454.0;41.7;9.2
613;Alabama;54224.0;29.4;8.5
614;Alabama;48838.0;26.5;3.3
615;Alabama;39258.0;35.3;5.4
616;Alabama;61528.0;39.1;2.1
617;Alabama;48208.0;35.0;7.6
618;Alabama;45500.0;26.4;8.4
619;Alabama;32689.0;18.0;6.8
620;Alabama;56781.0;27.6;4.0
621;Alabama;48781.0;24.2;7.6
622;Alabama;42576.0;17.9;3.4
623;Alabama;51907.0;33.9;12.4
624;Alabama;34800.0;24.5;16.0
625;Alabama;24271.0;21.5;10.6
626;Alabama;21851.0;20.6;8.5
627;Alabama;67895.0;45.4;6.0
628;Alabama;77583.0;42.3;5.2
629;Alabama;59215.0;39.2;4.5
630;Alabama;45385.0;35.3;12.0
631;Alabama;52880.0;35.9;9.9
632;Alabama;82988.0;58.6;4.1
633;Alabama;29396.0;22.3;10.8
634;Alabama;26154.0;23.8;8.3
635;Alabama;23165.0;21.7;23.4
636;Alabama;40106.0;23.9;7.8
637;Alabama;33846.0;19.9;6.8
638;Alabama;36120.0;15.9;13.1
639;Alabama;50625.0;41.6;5.8
640;Alabama;23040.0;34.2;10.6
641;Alabama;43750.0;35.2;8.9
642;Alabama;16563.0;44.1;27.2
643;Alabama;29375.0;30.2;14.2
644;Alabama;26154.0;20.7;14.8
645;Alabama;35240.0;26.3;20.1
646;Alabama;35341.0;33.7;12.2
647;Alabama;32154.0;36.2;13.6
648;Alabama;29107.0;23.0;12.5
649;Alabama;23322.0;4.9;16.2
650;Alabama;24292.0;12.9;17.5
651;Alabama;31481.0;20.3;13.9
652;Alabama;26832.0;19.2;12.9
653;Alabama;50904.0;32.7;10.1
654;Alabama;42201.0;34.3;11.4
655;Alabama;38643.0;20.9;12.7
656;Alabama;51838.0;30.8;10.8
657;Alabama;52135.0;39.2;5.0
658;Alabama;39024.0;37.2;8.2
659;Alabama;34850.0;34.5;6.5
660;Alabama;30728.0;28.1;15.7
661;Alabama;59451.0;44.4;9.1
662;Alabama;48190.0;38.3;2.7
663;Alabama;39934.0;52.1;5.4
664;Alabama;12270.0;19.5;23.8
665;Alabama;21546.0;22.5;13.6
666;Alabama;37150.0;27.7;10.3
667;Alabama;74970.0;58.4;3.8
668;Alabama;42103.0;34.7;8.4
669;Alabama;32060.0;33.6;13.3
670;Alabama;84375.0;60.5;4.8
671;Alabama;105786.0;70.7;3.7
672;Alabama;116280.0;64.6;7.3
673;Alabama;94028.0;66.7;1.1
674;Alabama;140682.0;67.4;2.1
675;Alabama;64141.0;57.4;8.9
676;Alabama;20491.0;17.7;12.8
677;Alabama;28333.0;27.3;11.2
678;Alabama;29090.0;16.9;11.1
679;Alabama;23424.0;16.8;3.8
680;Alabama;17451.0;17.4;2.7
681;Alabama;26525.0;15.9;8.3
682;Alabama;54359.0;45.4;10.1
683;Alabama;69969.0;52.4;3.2
684;Alabama;73864.0;58.8;5.3
685;Alabama;92887.0;63.7;2.9
686;Alabama;50591.0;48.9;5.8
687;Alabama;65797.0;46.0;2.5
688;Alabama;81563.0;55.9;2.1
689;Alabama;97264.0;60.2;4.5
690;Alabama;59595.0;45.6;5.8
691;Alabama;96563.0;67.2;5.1
692;Alabama;20938.0;10.8;14.3
693;Alabama;48583.0;60.3;6.7
694;Alabama;63528.0;40.9;6.5
695;Alabama;66250.0;40.2;2.7
696;Alabama;45634.0;32.6;4.9
697;Alabama;50895.0;33.3;5.2
