;state;population
1200;Alaska;2746
1201;Alaska;3448
1202;Alaska;964
1203;Alaska;3933
1204;Alaska;3223
1205;Alaska;4847
1206;Alaska;5416
1207;Alaska;4107
1208;Alaska;4778
1209;Alaska;7136
1210;Alaska;5508
1211;Alaska;6206
1212;Alaska;6124
1213;Alaska;4792
1214;Alaska;5142
1215;Alaska;4157
1216;Alaska;3352
1217;Alaska;3684
1218;Alaska;5338
1219;Alaska;3104
1220;Alaska;6885
1221;Alaska;5143
1222;Alaska;9642
1223;Alaska;3047
1224;Alaska;4802
1225;Alaska;5275
1226;Alaska;5447
1227;Alaska;6195
1228;Alaska;6062
1229;Alaska;10325
1230;Alaska;6758
1231;Alaska;9908
1232;Alaska;6202
1233;Alaska;8097
1234;Alaska;5145
1235;Alaska;5096
1236;Alaska;4070
1237;Alaska;5393
1238;Alaska;2550
1239;Alaska;10094
1240;Alaska;6408
1241;Alaska;1455
1242;Alaska;917
1243;Alaska;2303
1244;Alaska;2740
1245;Alaska;2234
1246;Alaska;1330
1247;Alaska;3514
1248;Alaska;4087
1249;Alaska;4504
1250;Alaska;2733
1251;Alaska;4565
1252;Alaska;4329
1253;Alaska;5794
1254;Alaska;6220
1255;Alaska;1633
1256;Alaska;9219
1257;Alaska;7726
1258;Alaska;6762
1259;Alaska;6842
1260;Alaska;11119
1261;Alaska;4543
1262;Alaska;1220
1263;Alaska;3160
1264;Alaska;10731
1265;Alaska;2537
1266;Alaska;62
1267;Alaska;2084
1268;Alaska;4695
1269;Alaska;7400
1270;Alaska;6057
1271;Alaska;4990
1272;Alaska;3221
1273;Alaska;6071
1274;Alaska;478
1275;Alaska;6069
1276;Alaska;1170
1277;Alaska;6426
1278;Alaska;6769
1279;Alaska;7634
1280;Alaska;10535
1281;Alaska;3701
1282;Alaska;2331
1283;Alaska;4372
1284;Alaska;3080
1285;Alaska;931
1286;Alaska;4465
1287;Alaska;3482
1288;Alaska;4940
1289;Alaska;2953
1290;Alaska;2370
1291;Alaska;1825
1292;Alaska;7279
1293;Alaska;2581
1294;Alaska;724
1295;Alaska;1364
1296;Alaska;8129
1297;Alaska;1301
1298;Alaska;580
1299;Alaska;1903
1300;Alaska;2136
1301;Alaska;6769
1302;Alaska;2068
1303;Alaska;2123
1304;Alaska;1653
1305;Alaska;2025
1306;Alaska;5533
1307;Alaska;7441
1308;Alaska;4581
1309;Alaska;3203
1310;Alaska;3810
1311;Alaska;4722
1312;Alaska;6355
1313;Alaska;5764
1314;Alaska;2981
